ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00135	10001	EAST	NORTHERN PISCATAQUIS CNT	ME	1000	EAST
00137	10001	EAST	CENTRAL AROOSTOOK CNTY	ME	1000	EAST
00138	10001	EAST	SOUTH AROOSTOOK CNTY	ME	1000	EAST
00139	10001	EAST	TWPS D-E-6-FRANKLIN CNTY	ME	1000	EAST
00141	10001	EAST	T3 R1 NBPP-PENOBSCOT CO	ME	1000	EAST
00148	10001	EAST	NE AROOSTOOK COUNTY	ME	1000	EAST
00151	10001	EAST	S CENTRAL WASHINGTON CO	ME	1000	EAST
00152	10001	EAST	ASSATEAGUE ISLAND NTL SE	MD	1000	EAST
00157	10001	EAST	MONOMOY ISLAND	MA	1000	EAST
00158	10001	EAST	MONOMOY ISLAND	MA	1000	EAST
00160	30001	WEST	SUPERIOR NATIONAL FOREST	MN	3000	WEST
00161	30001	WEST	SUPERIOR NATIONAL FOREST	MN	3000	WEST
00164	30001	WEST	NORTHWEST BELTRAMI CNTY	MN	3000	WEST
00165	30001	WEST	BELTRAMI ISL STATE FOR	MN	3000	WEST
00166	30001	WEST	RED LAKE INDIAN RES	MN	3000	WEST
00168	10001	EAST	BEANS PURCHASE	NH	1000	EAST
00172	10001	EAST	HADLEYS PURCHASE	NH	1000	EAST
00173	10001	EAST	CUTTS GRANT	NH	1000	EAST
00174	10001	EAST	BEANS GRANT	NH	1000	EAST
00176	10001	EAST	SARGENTS PURCHASE	NH	1000	EAST
00177	10001	EAST	PINKHAM GRANT	NH	1000	EAST
00179	10001	EAST	CHANDLERS PURCHASE	NH	1000	EAST
00180	10001	EAST	THOMPSON/MESERVES PURCH	NH	1000	EAST
00181	10001	EAST	LOW AND BURBANKS GRANT	NH	1000	EAST
00182	10001	EAST	CRAWFORDS PURCHASE	NH	1000	EAST
00183	10001	EAST	GREENS GRANT	NH	1000	EAST
00184	10001	EAST	BEANS PURCHASE	NH	1000	EAST
00185	10001	EAST	KILKENNY	NH	1000	EAST
00188	20001	CENTRAL	PADRE ISLAND NTL SEASHOR	TX	2000	CENTRAL
00195	30001	WEST	LONG ISLAND	WA	3000	WEST
00197	30001	WEST	B M GOLDWATER A F RANGE	AZ	3000	WEST
00198	99999	UNASSIGNED	E MNCPLTY OF ANCHORAGE	AK	9000	UNASSIGNED
00199	30001	WEST	TONTO NATIONAL FOREST	AZ	3000	WEST
00501	10001	EAST	HOLTSVILLE	NY	1000	EAST
00544	10001	EAST	HOLTSVILLE	NY	1000	EAST
00601	99999	UNASSIGNED	ADJUNTAS	PR	9000	UNASSIGNED
00602	99999	UNASSIGNED	AGUADA	PR	9000	UNASSIGNED
